V,Cr,Ti,W,Zr,dose_d30,dose_d365,dose_d1825,dose_d36500,He_2y,H_2y,dose_d30_pass,dose_d365_pass,dose_d1825_pass,dose_d36500_pass,He_2y_pass,H_2y_pass,all_pass
0.949,0.015,0.02,0.0,0.016,573.1584496965297,0.02494142256619907,4.602635062385385e-06,5.971690591029592e-07,254.7089575075048,668.3732149896301,True,True,True,True,True,True,True
0.838,0.016,0.099,0.004,0.043000000000000003,1496.818040445625,0.0876582743827589,2.2536417794814897e-05,2.8588260813140787e-06,272.23007448537055,727.9100422374612,False,True,True,True,True,True,False
0.869,0.024,0.09,0.004,0.013000000000000001,463.19345606148994,0.0540575449814153,2.0825058710721927e-05,2.6574424467161513e-06,274.1184301727843,733.3265604753115,True,True,True,True,True,True,True
0.98,0.001,0.0,0.0,0.019,678.6809357070191,0.020526825172927775,1.8673548581485122e-07,3.941785626920184e-09,246.06898453193318,635.8990260754301,True,True,True,True,True,True,True
0.927,0.008,0.017,0.008,0.04,1375.0130757577936,0.05938440731266717,5.696797906457099e-06,4.881593377598119e-07,248.6189079247329,650.4220270884175,False,True,True,True,True,True,False
0.943,0.008,0.02,0.004,0.025,879.3512007580683,0.04003594079612511,5.470220447646721e-06,5.866635805763856e-07,251.4661017051335,656.9963391123429,True,True,True,True,True,True,True
0.993,0.002,0.001,0.001,0.003,108.25079538439509,0.005226384059877865,5.115703617220421e-07,3.3906105764650546e-08,247.57768730931937,639.1880766089164,True,True,True,True,True,True,True
0.898,0.034,0.043000000000000003,0.01,0.015,522.9592057760423,0.04651156807960702,1.1630525918836162e-05,1.2457234523335914e-06,262.85584845713487,702.8760834086949,True,True,True,True,True,True,True
0.983,0.0,0.002,0.001,0.014,500.6732131304988,0.017440005499183252,8.146528615696589e-07,6.320730237025788e-08,246.51223084186424,636.3999657372341,True,True,True,True,True,True,True
0.977,0.002,0.0,0.001,0.02,711.7659661525801,0.02304717848538986,4.229193805957964e-07,3.916006017280624e-09,245.99679579680043,636.3293368595648,True,True,True,True,True,True,True
0.827,0.015,0.026000000000000002,0.123,0.009000000000000001,239.81582560678055,0.15128874212180854,2.429942363178505e-05,5.789383306569234e-07,228.81452947385017,602.2035528956959,True,True,True,True,True,True,True
0.901,0.001,0.068,0.023,0.007,238.05837916104775,0.0646107347223588,1.915830100487192e-05,1.9163626606845064e-06,259.2426641873755,678.9919280676163,True,True,True,True,True,True,True
0.867,0.019,0.028,0.081,0.005,147.46922705874164,0.11254161532165204,1.964832320945404e-05,6.850129427531266e-07,240.12859752836644,633.3960635601915,True,True,True,True,True,True,True
0.962,0.002,0.004,0.0,0.032,1131.7967065390576,0.03570847630844112,1.1646725510186202e-06,1.2102755876307015e-07,246.31870232069375,638.707862512249,False,True,True,True,True,True,False
