nuclides,reactions,groups,xs
Ag111,"(n,2n)",1,0.0
Ag111,"(n,d)",1,0.0
Ag111,"(n,a)",1,0.0
Ag111,"(n,p)",1,0.0
Ag111,"(n,3n)",1,0.0
Ag111,"(n,gamma)",1,1.076
Ag111,"(n,4n)",1,0.0
Ag111,"(n,t)",1,0.0
Ag111,fission,1,0.0
Ag112,"(n,2n)",1,0.0
Ag112,"(n,d)",1,0.0
Ag112,"(n,a)",1,9.76e-12
Ag112,"(n,p)",1,0.0
Ag112,"(n,3n)",1,0.0
Ag112,"(n,gamma)",1,33.31
Ag112,"(n,4n)",1,0.0
Ag112,"(n,t)",1,0.0
Ag112,fission,1,0.0
Ag113,"(n,2n)",1,0.0
Ag113,"(n,d)",1,0.0
Ag113,"(n,a)",1,0.0
Ag113,"(n,p)",1,0.0
Ag113,"(n,3n)",1,0.0
Ag113,"(n,gamma)",1,6.399
Ag113,"(n,4n)",1,0.0
Ag113,"(n,t)",1,0.0
Ag113,fission,1,0.0
Ag114,"(n,2n)",1,0.0
Ag114,"(n,d)",1,0.0
Ag114,"(n,a)",1,0.0
Ag114,"(n,p)",1,0.0
Ag114,"(n,3n)",1,0.0
Ag114,"(n,gamma)",1,5.557
Ag114,"(n,4n)",1,0.0
Ag114,"(n,t)",1,0.0
Ag114,fission,1,0.0
Ag115,"(n,2n)",1,0.0
Ag115,"(n,d)",1,0.0
Ag115,"(n,a)",1,0.0
Ag115,"(n,p)",1,0.0
Ag115,"(n,3n)",1,0.0
Ag115,"(n,gamma)",1,0.0031
Ag115,"(n,4n)",1,0.0
Ag115,"(n,t)",1,0.0
Ag115,fission,1,0.0
Ag116,"(n,2n)",1,0.0
Ag116,"(n,d)",1,0.0
Ag116,"(n,a)",1,0.0
Ag116,"(n,p)",1,0.0
Ag116,"(n,3n)",1,0.0
Ag116,"(n,gamma)",1,0.005861
Ag116,"(n,4n)",1,0.0
Ag116,"(n,t)",1,0.0
Ag116,fission,1,0.0
Ag117,"(n,2n)",1,0.0
Ag117,"(n,d)",1,0.0
Ag117,"(n,a)",1,0.0
Ag117,"(n,p)",1,0.0
Ag117,"(n,3n)",1,0.0
Ag117,"(n,gamma)",1,7.52e-06
Ag117,"(n,4n)",1,0.0
Ag117,"(n,t)",1,0.0
Ag117,fission,1,0.0
Ag118,"(n,2n)",1,0.0
Ag118,"(n,d)",1,0.0
Ag118,"(n,a)",1,0.0
Ag118,"(n,p)",1,0.0
Ag118,"(n,3n)",1,0.0
Ag118,"(n,gamma)",1,0.001075
Ag118,"(n,4n)",1,0.0
Ag118,"(n,t)",1,0.0
Ag118,fission,1,0.0
Ag119,"(n,2n)",1,0.0
Ag119,"(n,d)",1,0.0
Ag119,"(n,a)",1,0.0
Ag119,"(n,p)",1,0.0
Ag119,"(n,3n)",1,0.0
Ag119,"(n,gamma)",1,7.864e-05
Ag119,"(n,4n)",1,0.0
Ag119,"(n,t)",1,0.0
Ag119,fission,1,0.0
Ag120,"(n,2n)",1,0.0
Ag120,"(n,d)",1,0.0
Ag120,"(n,a)",1,0.0
Ag120,"(n,p)",1,0.0
Ag120,"(n,3n)",1,0.0
Ag120,"(n,gamma)",1,4.631
Ag120,"(n,4n)",1,0.0
Ag120,"(n,t)",1,0.0
Ag120,fission,1,0.0
At198,"(n,2n)",1,0.0
At198,"(n,d)",1,0.0
At198,"(n,a)",1,0.09861
At198,"(n,p)",1,6.584
At198,"(n,3n)",1,0.0
At198,"(n,gamma)",1,89.66
At198,"(n,4n)",1,0.0
At198,"(n,t)",1,0.0
At198,fission,1,0.0
At199,"(n,2n)",1,0.0
At199,"(n,d)",1,0.0
At199,"(n,a)",1,0.06032
At199,"(n,p)",1,0.3846
At199,"(n,3n)",1,0.0
At199,"(n,gamma)",1,45.4
At199,"(n,4n)",1,0.0
At199,"(n,t)",1,0.0
At199,fission,1,0.0
At200,"(n,2n)",1,0.0
At200,"(n,d)",1,0.0
At200,"(n,a)",1,0.07371
At200,"(n,p)",1,5.482
At200,"(n,3n)",1,0.0
At200,"(n,gamma)",1,121.9
At200,"(n,4n)",1,0.0
At200,"(n,t)",1,0.0
At200,fission,1,0.0
At201,"(n,2n)",1,0.0
At201,"(n,d)",1,0.0
At201,"(n,a)",1,0.01418
At201,"(n,p)",1,0.2639
At201,"(n,3n)",1,0.0
At201,"(n,gamma)",1,31.19
At201,"(n,4n)",1,0.0
At201,"(n,t)",1,0.0
At201,fission,1,0.0
At202,"(n,2n)",1,0.0
At202,"(n,d)",1,0.0
At202,"(n,a)",1,0.1047
At202,"(n,p)",1,4.014
At202,"(n,3n)",1,0.0
At202,"(n,gamma)",1,105.7
At202,"(n,4n)",1,0.0
At202,"(n,t)",1,0.0
At202,fission,1,0.0
At203,"(n,2n)",1,0.0
At203,"(n,d)",1,0.0
At203,"(n,a)",1,0.004592
At203,"(n,p)",1,0.2762
At203,"(n,3n)",1,0.0
At203,"(n,gamma)",1,14.38
At203,"(n,4n)",1,0.0
At203,"(n,t)",1,0.0
At203,fission,1,0.0
At204,"(n,2n)",1,0.0
At204,"(n,d)",1,0.0
At204,"(n,a)",1,0.03183
At204,"(n,p)",1,0.2099
At204,"(n,3n)",1,0.0
At204,"(n,gamma)",1,80.18
At204,"(n,4n)",1,0.0
At204,"(n,t)",1,0.0
At204,fission,1,0.0
At205,"(n,2n)",1,0.0
At205,"(n,d)",1,0.0
At205,"(n,a)",1,0.004885
At205,"(n,p)",1,0.06786
At205,"(n,3n)",1,0.0
At205,"(n,gamma)",1,22.1
At205,"(n,4n)",1,0.0
At205,"(n,t)",1,0.0
At205,fission,1,0.0
At206,"(n,2n)",1,0.0
At206,"(n,d)",1,0.0
At206,"(n,a)",1,0.02886
At206,"(n,p)",1,0.1357
At206,"(n,3n)",1,0.0
At206,"(n,gamma)",1,30.79
At206,"(n,4n)",1,0.0
At206,"(n,t)",1,0.0
At206,fission,1,0.0
At207,"(n,2n)",1,0.0
At207,"(n,d)",1,0.0
At207,"(n,a)",1,0.001657
At207,"(n,p)",1,0.007397
At207,"(n,3n)",1,0.0
At207,"(n,gamma)",1,46.93
At207,"(n,4n)",1,0.0
At207,"(n,t)",1,0.0
At207,fission,1,0.0
At208,"(n,2n)",1,0.0
At208,"(n,d)",1,0.0
At208,"(n,a)",1,0.01227
At208,"(n,p)",1,0.00656
At208,"(n,3n)",1,0.0
At208,"(n,gamma)",1,6.458
At208,"(n,4n)",1,0.0
At208,"(n,t)",1,0.0
At208,fission,1,0.0
At209,"(n,2n)",1,0.0
At209,"(n,d)",1,0.0
At209,"(n,a)",1,0.0004711
At209,"(n,p)",1,4.817e-05
At209,"(n,3n)",1,0.0
At209,"(n,gamma)",1,8.039
At209,"(n,4n)",1,0.0
At209,"(n,t)",1,0.0
At209,fission,1,0.0
At210,"(n,2n)",1,0.0
At210,"(n,d)",1,0.0
At210,"(n,a)",1,0.002843
At210,"(n,p)",1,7.603e-05
At210,"(n,3n)",1,0.0
At210,"(n,gamma)",1,6.13
At210,"(n,4n)",1,0.0
At210,"(n,t)",1,0.0
At210,fission,1,0.0
At211,"(n,2n)",1,0.0
At211,"(n,d)",1,0.0
At211,"(n,a)",1,0.002546
At211,"(n,p)",1,0.0
At211,"(n,3n)",1,0.0
At211,"(n,gamma)",1,0.0005491
At211,"(n,4n)",1,0.0
At211,"(n,t)",1,0.0
At211,fission,1,0.0
At218,"(n,2n)",1,0.0
At218,"(n,d)",1,0.0
At218,"(n,a)",1,1.034e-07
At218,"(n,p)",1,0.0
At218,"(n,3n)",1,0.0
At218,"(n,gamma)",1,257.3
At218,"(n,4n)",1,0.0
At218,"(n,t)",1,0.0
At218,fission,1,0.0
At219,"(n,2n)",1,0.0
At219,"(n,d)",1,0.0
At219,"(n,a)",1,6.866e-05
At219,"(n,p)",1,0.0
At219,"(n,3n)",1,0.0
At219,"(n,gamma)",1,0.8705
At219,"(n,4n)",1,0.0
At219,"(n,t)",1,0.0
At219,fission,1,0.0
At220,"(n,2n)",1,0.0
At220,"(n,d)",1,0.0
At220,"(n,a)",1,0.00738
At220,"(n,p)",1,0.0
At220,"(n,3n)",1,0.0
At220,"(n,gamma)",1,1.767
At220,"(n,4n)",1,0.0
At220,"(n,t)",1,0.0
At220,fission,1,0.0
At221,"(n,2n)",1,0.0
At221,"(n,d)",1,0.0
At221,"(n,a)",1,2.793e-08
At221,"(n,p)",1,0.0
At221,"(n,3n)",1,0.0
At221,"(n,gamma)",1,2.307
At221,"(n,4n)",1,0.0
At221,"(n,t)",1,0.0
At221,fission,1,0.0
At222,"(n,2n)",1,0.0
At222,"(n,d)",1,0.0
At222,"(n,a)",1,0.006611
At222,"(n,p)",1,0.0
At222,"(n,3n)",1,0.0
At222,"(n,gamma)",1,232.5
At222,"(n,4n)",1,0.0
At222,"(n,t)",1,0.0
At222,fission,1,0.0
At223,"(n,2n)",1,0.0
At223,"(n,d)",1,0.0
At223,"(n,a)",1,2.419e-05
At223,"(n,p)",1,0.0
At223,"(n,3n)",1,0.0
At223,"(n,gamma)",1,18.4
At223,"(n,4n)",1,0.0
At223,"(n,t)",1,0.0
At223,fission,1,0.0
At224,"(n,2n)",1,0.0
At224,"(n,d)",1,0.0
At224,"(n,a)",1,1.384e-05
At224,"(n,p)",1,0.0
At224,"(n,3n)",1,0.0
At224,"(n,gamma)",1,39.28
At224,"(n,4n)",1,0.0
At224,"(n,t)",1,0.0
At224,fission,1,0.0
At225,"(n,2n)",1,0.0
At225,"(n,d)",1,0.0
At225,"(n,a)",1,3.1e-10
At225,"(n,p)",1,0.0
At225,"(n,3n)",1,0.0
At225,"(n,gamma)",1,26.39
At225,"(n,4n)",1,0.0
At225,"(n,t)",1,0.0
At225,fission,1,0.0
At226,"(n,2n)",1,0.0
At226,"(n,d)",1,0.0
At226,"(n,a)",1,2.685e-09
At226,"(n,p)",1,0.0
At226,"(n,3n)",1,0.0
At226,"(n,gamma)",1,0.4364
At226,"(n,4n)",1,0.0
