V,Cr,Ti,W,Zr,x_V,x_Cr,x_Ti,x_W,x_Zr,phase_count,dominant_phase,single_phase,phases,iter
0.957,0.009000000000000001,0.004,0.014,0.016,0.957,0.009000000000000001,0.004,0.014,0.016,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9746852977294231, ""C15_LAVES#1"": 0.01915352256182249, ""FCC_L12#1"": 0.0006640312668857549, ""HCP_A3#2"": 0.00317222898698934, ""HCP_A3#3"": 0.002324919454879436}",14
0.954,0.004,0.006,0.021,0.015,0.954,0.004,0.006,0.021,0.015,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9797392409128453, ""C15_LAVES#1"": 0.013734486577449839, ""FCC_L12#1"": 0.0006771065428984307, ""HCP_A3#1"": 0.003368603135680787, ""HCP_A3#2"": 0.002480562831125612}",14
0.959,0.012,0.008,0.006,0.015,0.959,0.012,0.008,0.006,0.015,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.977242549238312, ""C15_LAVES#1"": 0.01682678724014523, ""FCC_L12#1"": 0.00064914488934271, ""HCP_A3#2"": 0.0022298299109564284, ""HCP_A3#3"": 0.0030516887212435565}",14
0.973,0.005,0.005,0.006,0.011,0.973,0.005,0.005,0.006,0.011,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9922487243363877, ""C15_LAVES#1"": 0.0015200238839761626, ""FCC_L12#1"": 0.0006500788317583327, ""HCP_A3#2"": 0.002365590832304907, ""HCP_A3#3"": 0.0032155821155729737}",14
0.969,0.006,0.006,0.008,0.011,0.969,0.006,0.006,0.008,0.011,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9915524744875985, ""C15_LAVES#1"": 0.0022564548341304394, ""FCC_L12#1"": 0.000652791045889419, ""HCP_A3#1"": 0.0031930541554467257, ""HCP_A3#2"": 0.002345225476934982}",14
0.974,0.005,0.008,0.006,0.007,0.974,0.005,0.008,0.006,0.007,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9947099416371686, ""FCC_L12#1"": 0.0006363048855627829, ""HCP_A3#1"": 0.0019523392665364006, ""HCP_A3#2"": 0.002701414210732441}",14
0.954,0.008,0.02,0.013000000000000001,0.005,0.954,0.008,0.02,0.013000000000000001,0.005,4,BCC_B2#1,True,"{""BCC_B2#1"": 0.9951806093523602, ""FCC_L12#1"": 0.0006332811257823726, ""HCP_A3#1"": 0.001733900937504417, ""HCP_A3#2"": 0.0024522085843531214}",14
0.973,0.004,0.009000000000000001,0.01,0.004,0.973,0.004,0.009000000000000001,0.01,0.004,5,BCC_B2#1,True,"{""BCC_B2#1"": 0.995776264227847, ""FCC_L12#1"": 0.0006236841585413257, ""HCP_A3#1"": 0.001026851569535037, ""HCP_A3#2"": 0.002335381115374844, ""ZRO2_MONO#1"": 0.00023781892870153784}",14
0.851,0.016,0.007,0.107,0.019,0.851,0.016,0.007,0.107,0.019,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9581326274755538, ""C15_LAVES#1"": 0.03505773610093415, ""FCC_L12#1"": 0.000808173378732108, ""HCP_A3#1"": 0.002526554794250852, ""HCP_A3#2"": 0.003474908250529186}",14
0.958,0.017,0.008,0.006,0.011,0.958,0.017,0.008,0.006,0.011,5,BCC_B2#1,False,"{""BCC_B2#1"": 0.9869405930286727, ""C15_LAVES#1"": 0.0073844967723474585, ""FCC_L12#1"": 0.000644329230110214, ""HCP_A3#1"": 0.002119201034677909, ""HCP_A3#2"": 0.002911379934192092}",14
0.951,0.011,0.013000000000000001,0.017,0.008,0.951,0.011,0.013000000000000001,0.017,0.008,4,BCC_B2#1,False,"{""BCC_B2#1"": 0.9943139939077638, ""FCC_L12#1"": 0.0006586009673190429, ""HCP_A3#1"": 0.002115359638060599, ""HCP_A3#2"": 0.0029120454868565094}",14
